# Wavelength (nm), Intensity
377.0369, 1
394.8979, 1
404.4418, 1
415.859, 11
416.418, 1
418.1884, 1
419.0713, 3
419.1029, 1
419.8317, 6
420.0674, 11
425.1185, 1
425.9362, 6
426.6286, 3
427.2169, 4
430.0101, 3
433.3561, 3
433.5338, 1
434.5168, 1
451.0733, 3
452.2323, 1
518.7746, 1
549.5874, 1
555.8702, 1
560.6733, 1
565.0704, 1
588.8584, 1
591.2085, 1
603.2127, 2
604.3223, 1
605.9372, 1
638.4717, 1
641.6307, 2
667.7282, 3
675.2834, 4
687.1289, 4
693.7664, 1
696.5431, 300
703.0251, 4
706.7218, 300
706.8736, 3
710.7478, 1
712.582, 1
714.7042, 30
720.698, 2
727.2936, 60
731.1716, 1
731.6005, 1
735.3293, 2
737.2118, 6
738.398, 300
739.298, 1
743.5368, 1
750.3869, 600
751.4652, 400
763.5106, 700
772.3761, 400
772.4207, 300
794.8176, 600
800.6157, 600
801.4786, 700
810.3693, 600
811.5311, 1000
826.4522, 300
839.227, 1
840.821, 400
842.4648, 600
852.1442, 400
866.7944, 130
884.991, 5
907.5394, 1
912.2967, 1000
919.4638, 15
922.4499, 400
929.1531, 11
935.422, 50
965.7786, 700
978.4503, 130
1005.206, 5
1033.272, 1
1047.0054, 50
1050.65, 5
1067.3565, 6
1073.387, 1
1075.916, 1
1110.646, 1
1148.8109, 11
1166.871, 6
1211.2326, 6
1213.9738, 1
1234.3393, 1
1240.2827, 6
1243.9321, 6
1245.612 , 3
1248.7663, 6
1270.2281, 4
1273.3418, 1
1280.2739, 6
1293.3195, 1
1295.6659, 14
1300.8264, 6
1321.399, 6
1322.8107, 6
1323.09, 3
1327.264, 14
1331.321, 30
1336.7111, 30
1349.941, 1
1350.4191, 30
1359.9333, 1
1362.2659, 11
1367.855, 6
1371.8577, 30
1409.364, 6
1504.65, 3
1517.269, 1
1598.949, 1
1651.986, 1
1694.058, 14
2061.623, 1
2098.611, 1
2313.32, 1
2396.652, 1